,0
arith mean,7.047243701467248e-05
arith mean (ann),0.0008456692441760698
geomean mean,3.797517834769337e-05
geomean mean (ann),0.0004557973317567132
sigma,0.008086697714965676
sigma (ann),0.028013142615543385
avg drawdown,0.03246141687728457
max drawdown,0.07640538116504059
alpha,-3.981008678719913e-05
alpha SE,0.0004921204889143531
alpha (ann),-0.0004777210414463896
alpha SE (ann),0.0059054458669722375
beta,0.020362952670304302
betaSE,0.010566672688133147
Sharpe ratio,0.008714612502981584
Sharpe ratio (ann),0.030188303246878177
information ratio,-0.004922910215071407
information ratio (ann),-0.017053461227207013
