,datetime,nav,cash_position,margin_requirement
0,2000-05-31,100.0,100.0,0.0
0,2000-06-30,100.0,100.0,0.0
0,2000-07-31,100.0,100.0,0.0
0,2000-08-31,100.0,100.0,0.0
0,2000-09-29,100.0,100.0,0.0
0,2000-10-31,100.0,100.0,0.0
0,2000-11-30,100.0,100.0,0.0
0,2000-12-29,100.0,100.0,0.0
0,2001-01-31,100.0,100.0,0.0
0,2001-02-28,100.0,100.0,0.0
0,2001-03-30,100.0,100.0,0.0
0,2001-04-30,100.0,100.0,0.0
0,2001-05-31,100.0,100.0,0.0
0,2001-06-29,100.0,100.0,0.0
0,2001-07-31,100.0,100.0,0.0
0,2001-08-31,100.0,100.0,0.0
0,2001-09-28,100.0,100.0,0.0
0,2001-10-31,100.0,100.0,0.0
0,2001-11-30,100.0,100.0,0.0
0,2001-12-31,100.0,100.0,0.0
0,2002-01-31,99.9,99.9,25.000000000000014
0,2002-02-28,97.83751503970589,97.83751503970589,24.483862622549026
0,2002-03-28,98.36675510782995,98.36675510782995,24.616305082039524
0,2002-04-30,96.05728624389556,96.05728624389556,24.03835992089479
0,2002-05-31,94.91220569847505,94.91220569847505,23.751803227846608
0,2002-06-28,94.17549847606855,94.17549847606855,23.56744206107821
0,2002-07-31,92.54665318075125,92.54665318075125,23.159823118306115
0,2002-08-30,93.51614646914318,93.51614646914318,23.40243905634214
0,2002-09-30,91.78058030682234,91.78058030682234,22.968113189895476
0,2002-10-31,95.10510579434825,95.10510579434825,23.800076525112175
0,2002-11-29,96.63074799829216,96.63074799829216,24.18186886844149
0,2002-12-31,95.97316409583213,95.97316409583213,24.01730833229032
0,2003-01-31,97.06013510563503,97.06013510563501,24.289323099508273
0,2003-02-28,97.60773164161009,97.60773164161009,24.426359269672204
0,2003-03-31,97.83455149817549,97.83455149817549,24.483120995539416
0,2003-04-30,98.07051515884281,98.07051515884281,24.542170960671363
0,2003-05-30,97.78280615872241,97.78280615872241,24.47017171139199
0,2003-06-30,98.05509918889118,98.05509918889118,24.53831311033312
0,2003-07-31,98.77295909331961,98.77295909331961,24.71795773106097
0,2003-08-29,99.04863044852428,99.04863044852428,24.786944556687757
0,2003-09-30,99.35946814367041,99.35946814367041,24.864731767685292
0,2003-10-31,100.14221111508337,100.14221111508337,25.060613392163006
0,2003-11-28,101.07153557780975,101.07153557780975,25.293177071523957
0,2003-12-31,99.68149638014403,99.68149638014403,24.94531941445046
0,2004-01-30,100.21700557731717,100.21700557731717,25.079330725054334
0,2004-02-27,99.55523792032493,99.55523792032494,24.91372320328452
0,2004-03-31,99.55310009010874,99.55310009010874,24.91318821073792
0,2004-04-30,98.564400681391,98.564400681391,24.66576593628404
0,2004-05-28,99.31171571845731,99.31171571845731,24.852781711325655
0,2004-06-30,99.4229280373222,99.4229280373222,24.8806126219525
0,2004-07-30,98.83098651990798,98.83098651990798,24.732479109086086
0,2004-08-31,97.37100603721734,97.37100603721734,24.367118627932257
0,2004-09-30,98.01822979137111,98.01822979137111,24.529086534377157
0,2004-10-29,98.7498075571994,98.74980755719942,24.7121640533532
0,2004-11-30,99.28769618316868,99.28769618316868,24.84677081660879
0,2004-12-31,98.68924112980136,98.68924112980136,24.697007289740085
0,2005-01-31,98.31360570418157,98.31360570418157,24.60300443047587
0,2005-02-28,97.49343319283341,97.49343319283341,24.397756054262615
0,2005-03-31,97.49167192190316,97.49167192190318,24.397315295771556
0,2005-04-29,97.10231049501209,97.10231049501209,24.299877501254286
0,2005-05-31,97.99849856878379,97.99849856878379,24.524148790986928
0,2005-06-30,97.49927194468837,97.49927194468837,24.399217203375464
0,2005-07-29,97.16086586541459,97.1608658654146,24.314530997351007
0,2005-08-31,96.89217055661929,96.89217055661929,24.247289929083898
0,2005-09-30,97.47230862813406,97.47230862813407,24.392469626660173
0,2005-10-31,98.8201308659613,98.82013086596132,24.729762478969292
0,2005-11-30,99.50760074661451,99.50760074661451,24.901801988642276
0,2005-12-30,99.14904308765789,99.14904308765789,24.812072844759236
0,2006-01-31,98.82667764418485,98.82667764418485,24.73140081185808
0,2006-02-28,98.67464139425341,98.67464139425343,24.69335370226561
0,2006-03-31,98.65686230795066,98.65686230795066,24.688904481469137
0,2006-04-28,98.55785747466794,98.55785747466794,24.664128497164157
0,2006-05-31,98.03597719302999,98.03597719302999,24.533527826083585
0,2006-06-30,97.9782301326221,97.9782301326221,24.519076609765285
0,2006-07-31,97.55873612160786,97.55873612160786,24.414098128530497
0,2006-08-31,98.46446561003808,98.46446561003808,24.640757159669192
0,2006-09-29,98.97320755907737,98.97320755907737,24.768069959729075
0,2006-10-31,99.00891281852161,99.00891281852162,24.77700520984024
0,2006-11-30,98.70938102197053,98.70938102197053,24.70204730279542
0,2006-12-29,98.70088452386568,98.70088452386568,24.699921052018453
0,2007-01-31,98.42658898599231,98.42658898599232,24.631278525023113
0,2007-02-28,98.47606420909403,98.47606420909403,24.643659711985492
0,2007-03-30,98.69866524906934,98.69866524906934,24.69936567794528
0,2007-04-30,97.60505272823895,97.60505272823895,24.42568887093067
0,2007-05-31,97.89641877947486,97.89641877947486,24.498603298166884
0,2007-06-29,97.80456414603232,97.80456414603233,24.475616653161254
0,2007-07-31,98.6197645558324,98.61976455583242,24.679620759717828
0,2007-08-31,98.37335636967585,98.37335636967586,24.61795704946843
0,2007-09-28,98.58051647824713,98.58051647824713,24.669798918480275
0,2007-10-31,98.91806950669265,98.91806950669266,24.75427164832149
0,2007-11-30,98.71920244174387,98.71920244174387,24.704505115551527
0,2007-12-31,98.80893131489594,98.80893131489594,24.726959788512502
0,2008-01-31,97.83000462995467,97.83000462995469,24.481983140629296
0,2008-02-29,97.06807120275866,97.06807120275866,24.291309109799457
0,2008-03-31,96.90289752140364,96.90289752140364,24.24997435470563
0,2008-04-30,98.07660689937244,98.07660689937244,24.54369542026337
0,2008-05-30,99.05381045237841,99.05381045237841,24.788240853948544
0,2008-06-30,98.77898472954173,98.77898472954175,24.719465648033477
0,2008-07-31,99.08997691532863,99.08997691532865,24.797291520352523
0,2008-08-29,99.30066552153933,99.30066552153933,24.85001639678162
0,2008-09-30,99.61293106731085,99.61293106731087,24.928160927755464
0,2008-10-31,100.10418687072774,100.10418687072774,25.051097815497428
0,2008-11-28,101.13279802134738,101.13279802134738,25.308508013350192
0,2008-12-31,100.11836677465955,100.11836677465955,25.0546463400049
0,2009-01-30,100.0229976937012,100.0229976937012,25.03078020362892
0,2009-02-27,100.35810763827698,100.35810763827698,25.11464155112037
0,2009-03-31,101.6075853028162,101.60758530281622,25.427323649353404
0,2009-04-30,100.77283100819383,100.77283100819385,25.2184261782267
0,2009-05-29,99.93566855248014,99.93566855248014,25.00892606418421
0,2009-06-30,101.7371553892659,101.7371553892659,25.459748595912387
0,2009-07-31,101.23157584248942,101.23157584248942,25.33322718781016
0,2009-08-31,100.81574596872349,100.81574596872349,25.229165657838706
0,2009-09-30,101.54345519443238,101.54345519443238,25.41127507368177
0,2009-10-30,102.00445800115678,102.00445800115678,25.526641141430623
0,2009-11-30,100.70268699633327,100.70268699633327,25.200872621705024
0,2009-12-31,101.09429482728487,101.09429482728487,25.298872579400623
0,2010-01-29,100.45685031143765,100.45685031143765,25.1393519297892
0,2010-02-26,100.60731894511146,100.60731894511146,25.177006743020875
0,2010-03-31,100.83113467862039,100.83113467862039,25.233016686341436
0,2010-04-30,100.23390951205128,100.23390951205128,25.08356093895177
0,2010-05-28,101.21293847585302,101.21293847585304,25.328563182145402
0,2010-06-30,102.06734340088728,102.06734340088728,25.542378228450282
0,2010-07-30,101.86502195590577,101.86502195590577,25.49174723621266
0,2010-08-31,103.53640508199597,103.53640508199595,25.91001128178077
0,2010-09-30,103.7967951380811,103.7967951380811,25.97517395847874
0,2010-10-29,104.19660945358487,104.19660945358487,26.075227590987197
0,2010-11-30,103.84178509758935,103.84178509758934,25.98643270710444
0,2010-12-31,103.17276525151134,103.17276525151134,25.81901032320105
0,2011-01-31,103.38501766388288,103.38501766388288,25.872126542513243
0,2011-02-28,103.5983458461864,103.5983458461864,25.925511973520123
0,2011-03-31,103.58176403007855,103.58176403007855,25.921362369889536
0,2011-04-29,103.90735078753231,103.90735078753231,26.00284053742049
0,2011-05-31,103.51285468118358,103.51285468118358,25.904117788083987
0,2011-06-30,103.8484442802819,103.8484442802819,25.98809916923971
0,2011-07-29,103.01231325154303,103.01231325154303,25.778857170055822
0,2011-08-31,103.14014846082013,103.14014846082014,25.8108479631682
0,2011-09-30,103.58011587331116,103.58011587331116,25.92094991824603
0,2011-10-31,103.89810041938159,103.89810041938159,26.00052563047589
0,2011-11-30,103.40229825365017,103.40229825365017,25.876451014426976
0,2011-12-30,103.76022809686224,103.76022809686224,25.96602304726283
0,2012-01-31,103.21883316670983,103.21883316670983,25.830538830507976
0,2012-02-29,103.2437826000303,103.2437826000303,25.836782432440003
0,2012-03-30,103.98156525158468,103.98156525158468,26.021412725621794
0,2012-04-30,104.07651798511297,104.07651798511297,26.0451746709492
0,2012-05-31,104.61506192742694,104.61506192742694,26.179945427284018
0,2012-06-29,105.30381467958344,105.30381467958344,26.352305975871744
0,2012-07-31,103.82930022886512,103.82930022886512,25.983308365581863
0,2012-08-31,104.10976418185595,104.10976418185595,26.05349454000398
0,2012-09-28,104.04281441495569,104.04281441495569,26.036740344083007
0,2012-10-31,102.88722546069005,102.88722546069005,25.7475539190916
0,2012-11-30,102.3249102730793,102.3249102730793,25.606834402672504
0,2012-12-31,102.22892729348307,102.22892729348307,25.582814638008777
0,2013-01-31,101.57024346086808,101.57024346086808,25.417978844061082
0,2013-02-28,101.86676168958226,101.86676168958226,25.492182605000565
0,2013-03-28,102.10641459070999,102.10641459071,25.552155803480993
0,2013-04-30,101.3044856623567,101.3044856623567,25.35147288847765
0,2013-05-31,100.81827704468105,100.81827704468105,25.229799060230505
0,2013-06-28,101.18904339609,101.18904339609,25.322583432454962
0,2013-07-31,101.35104366654113,101.35104366654113,25.36312404067597
0,2013-08-30,101.24965935329286,101.24965935329286,25.337752590914135
0,2013-09-30,100.94287421768475,100.94287421768475,25.260979533955144
0,2013-10-31,100.02309657259815,100.02309657259815,25.03080494809764
0,2013-11-29,99.31590849340463,99.31590849340463,24.853830954305465
0,2013-12-31,99.34095510191007,99.34095510191007,24.860098874351884
0,2014-01-31,100.8089545046967,100.8089545046967,25.227466092266447
0,2014-02-28,99.80732086425257,99.80732086425256,24.97680702308623
0,2014-03-31,99.09600707151917,99.09600707151917,24.798800568448236
0,2014-04-30,97.19937630474884,97.19937630474884,24.32416824443164
0,2014-05-30,96.70405706371577,96.70405706371577,24.200214480409358
0,2014-06-30,97.11905033501768,97.11905033501768,24.304066650404835
0,2014-07-31,97.41645845172816,97.41645845172816,24.378493106038086
0,2014-08-29,97.02589667545061,97.02589667545061,24.280754923786446
0,2014-09-30,97.18550386435504,97.18550386435504,24.320696662751516
0,2014-10-31,98.12782892292822,98.12782892292822,24.556513744476547
0,2014-11-28,98.30931214902421,98.30931214902421,24.601929967223285
0,2014-12-31,99.05289158134477,99.05289158134475,24.78801090624244
0,2015-01-30,98.64689213769395,98.64689213769394,24.686409443867355
0,2015-02-27,98.99177162382888,98.99177162382888,24.772715621578804
0,2015-03-31,98.5071146956849,98.50711469568489,24.651430104025252
0,2015-04-30,98.3411929802871,98.34119298028709,24.609908153225
0,2015-05-29,98.4414020611284,98.4414020611284,24.634985500782875
0,2015-06-30,99.00456191247451,99.0045619124745,24.77591639451314
0,2015-07-31,99.10406961232458,99.10406961232457,24.80081822130245
0,2015-08-31,98.61935305311837,98.61935305311837,24.679517781060653
0,2015-09-30,99.58796519776566,99.58796519776566,24.92191321265407
0,2015-10-30,98.86346578189,98.86346578188999,24.74060705252503
0,2015-11-30,99.1063722610825,99.10637226108248,24.801394459730354
0,2015-12-31,99.24409856542823,99.24409856542823,24.835860501858917
0,2016-01-29,99.09180935917176,99.09180935917175,24.797750089882825
0,2016-02-29,97.99177801587028,97.99177801587028,24.522466970938503
0,2016-03-31,97.8009563208511,97.80095632085109,24.47471379400678
0,2016-04-29,97.58063093770745,97.58063093770744,24.419577311738607
0,2016-05-31,98.46034834980036,98.46034834980034,24.63972681426435
0,2016-06-30,98.48412283166377,98.48412283166375,24.645676384300252
0,2016-07-29,98.77548728836022,98.77548728836021,24.718590412502564
0,2016-08-31,99.33128573084463,99.33128573084463,24.85767911182299
0,2016-09-30,99.13474544208077,99.13474544208076,24.808494855375578
0,2016-10-31,98.99759678780603,98.99759678780602,24.774173370321826
0,2016-11-30,97.16934776261232,97.1693477626123,24.316653594247335
0,2016-12-30,96.4785333081074,96.4785333081074,24.143777104130997
0,2017-01-31,97.10981238310225,97.10981238310224,24.30175485062619
0,2017-02-28,96.93645388823218,96.93645388823217,24.258371843901955
0,2017-03-31,97.63379670732368,97.63379670732368,24.432882058889817
0,2017-04-28,98.16766992141694,98.16766992141693,24.566483964318543
0,2017-05-31,99.38146327804915,99.38146327804915,24.870236055567858
0,2017-06-30,98.65594163607108,98.65594163607106,24.68867408310087
0,2017-07-31,98.58893888725025,98.58893888725024,24.671906628441008
0,2017-08-31,99.60058894967312,99.60058894967311,24.925072309728
0,2017-09-29,98.94500521211455,98.94500521211454,24.761012315343983
0,2017-10-31,99.9457463148093,99.94574631480928,25.01144802672905
0,2017-11-30,99.53305687404037,99.53305687404035,24.908172390900994
0,2017-12-29,98.32724826265601,98.327248262656,24.606418484148158
0,2018-01-31,99.04031580049325,99.04031580049325,24.784863813937257
0,2018-02-28,100.83719078057865,100.83719078057864,25.234532227372036
0,2018-03-29,100.3871197609598,100.38711976095979,25.12190184208204
0,2018-04-30,101.44620815925403,101.44620815925401,25.386938978792287
0,2018-05-31,102.52143631334248,102.52143631334246,25.656015093429062
0,2018-06-29,102.18305693124688,102.18305693124687,25.5713355683801
0,2018-07-31,101.79717353550008,101.79717353550008,25.47476815202706
0,2018-08-31,103.40082537736005,103.40082537736002,25.87608242676678
0,2018-09-28,103.11799847821601,103.11799847821601,25.80530492447849
0,2018-10-31,103.01402764317663,103.01402764317662,25.779286196991144
0,2018-11-30,103.67066134622475,103.67066134622473,25.943608945501694
0,2018-12-31,104.48540730159665,104.48540730159665,26.147499324723903
0,2019-01-31,103.94021691871467,103.94021691871467,26.011065294973648
0,2019-02-28,104.7446075425922,104.74460754259219,26.212364249897952
0,2019-03-29,105.46922958230044,105.46922958230043,26.393701096671784
0,2019-04-30,105.53550890968482,105.53550890968481,26.410287514936158
0,2019-05-31,106.34306854969216,106.34306854969216,26.61237951693998
0,2019-06-28,104.77333038037902,104.77333038037901,26.219552147242
0,2019-07-31,105.27283509869594,105.27283509869592,26.344553328002
0,2019-08-30,105.11585985003484,105.11585985003484,26.305270232741464
0,2019-09-30,104.30152273929397,104.30152273929396,26.1014821669905
0,2019-10-31,104.49866261610141,104.49866261610141,26.15081647049586
0,2019-11-29,105.72614523875075,105.72614523875072,26.457994303991683
0,2019-12-31,105.05057285794378,105.05057285794376,26.28893214663259
0,2020-01-31,106.49440615836171,106.4944061583617,26.65025179138182
0,2020-02-28,107.09861787771072,107.09861787771071,26.801455925353032
0,2020-03-31,109.13378535684464,109.13378535684464,27.31075709630747
0,2020-04-30,108.14500251350069,108.14500251350067,27.0633139423175
0,2020-05-29,109.26751836725933,109.26751836725931,27.344223815630464
0,2020-06-30,109.30896292993425,109.30896292993425,27.35459532781139
0,2020-07-31,109.6800329493666,109.68003294936659,27.447455693034684
0,2020-08-31,110.08434037473907,110.08434037473906,27.548633727412202
