,0
arith mean,0.010256305796906355
arith mean (ann),0.12307566956287627
geomean mean,0.007486173808787466
geomean mean (ann),0.09362678402053892
sigma,0.07338492051442111
sigma (ann),0.25421282168076187
avg drawdown,0.18640718851184884
max drawdown,0.6696321413753602
alpha,0.003955549138977385
alpha SE,0.0026806284301259297
alpha (ann),0.047466589667728626
alpha SE (ann),0.03216754116151116
beta,1.2648933959888053
betaSE,0.05747633397944655
Sharpe ratio,0.13976039934377057
Sharpe ratio (ann),0.4841442250990533
information ratio,0.05390138888547365
information ratio (ann),0.1867198882963375
