,datetime,nav,cash_position,margin_requirement
0,2010-03-31,100.0,-1.4210854715202004e-14,50.00000000000001
0,2010-04-30,105.42313846153846,2.842170943040401e-14,52.711569230769214
0,2010-05-28,97.21439822311953,0.0,48.607199111559765
0,2010-06-30,94.23832119251615,1.4210854715202004e-14,47.11916059625807
0,2010-07-30,97.91800453226838,0.0,48.95900226613419
0,2010-08-31,107.05817902495883,1.4210854715202004e-14,53.52908951247941
0,2010-09-30,121.24966626188994,0.0,60.62483313094497
0,2010-10-29,128.18896906259204,2.842170943040401e-14,64.094484531296
0,2010-11-30,127.92910237370099,1.4210854715202004e-14,63.964551186850485
0,2010-12-31,136.266719322792,5.684341886080802e-14,68.13335966139597
0,2011-01-31,139.61790281234946,-2.842170943040401e-14,69.80895140617474
0,2011-02-28,147.99564703488102,-2.842170943040401e-14,73.99782351744052
0,2011-03-31,152.13781042317618,0.0,76.06890521158809
0,2011-04-29,156.29117880715438,-5.684341886080802e-14,78.14558940357722
0,2011-05-31,154.67854792444996,2.842170943040401e-14,77.33927396222496
0,2011-06-30,152.610782085764,-2.842170943040401e-14,76.30539104288201
0,2011-07-29,145.31972502500383,0.0,72.65986251250192
0,2011-08-31,133.22679262970766,0.0,66.61339631485383
0,2011-09-30,121.37615125892262,2.842170943040401e-14,60.688075629461295
0,2011-10-31,139.12911975427016,5.684341886080802e-14,69.56455987713505
0,2011-11-30,136.6564110056725,-1.1368683772161603e-13,68.32820550283631
0,2011-12-30,137.5476577674637,-2.842170943040401e-14,68.77382888373187
0,2012-01-31,148.75738109129082,-2.842170943040401e-14,74.37869054564543
0,2012-02-29,154.20576386705932,-2.842170943040401e-14,77.10288193352967
0,2012-03-30,157.16608066624238,-8.526512829121202e-14,78.58304033312123
0,2012-04-30,153.97200037719446,2.842170943040401e-14,76.98600018859722
0,2012-05-31,141.7828951393341,-2.842170943040401e-14,70.89144756966706
0,2012-06-29,151.1178704299401,-2.842170943040401e-14,75.55893521497006
0,2012-07-31,148.16556141055935,2.842170943040401e-14,74.08278070527966
0,2012-08-31,153.79273738530387,0.0,76.89636869265193
0,2012-09-28,160.2747161097214,0.0,80.1373580548607
0,2012-10-31,152.12507154431182,-2.842170943040401e-14,76.06253577215593
0,2012-11-30,152.56857900622643,2.842170943040401e-14,76.2842895031132
0,2012-12-31,157.33338330158693,-2.842170943040401e-14,78.66669165079348
0,2013-01-31,167.3015870680365,-2.842170943040401e-14,83.65079353401826
0,2013-02-28,168.94293101757881,0.0,84.47146550878941
0,2013-03-28,177.58281500950744,-8.526512829121202e-14,88.79140750475376
0,2013-04-30,177.1168861345993,-5.684341886080802e-14,88.55844306729968
0,2013-05-31,186.78387726520037,0.0,93.39193863260019
