,0
arith mean,0.004885602923716365
arith mean (ann),0.05862723508459638
geomean mean,0.0031358894114845715
geomean mean (ann),0.03828653630335932
sigma,0.060330469313226956
sigma (ann),0.20899087618996823
avg drawdown,0.1036061264825302
max drawdown,0.7742825500688604
alpha,0.0013804012707372007
alpha SE,0.0021434083273103037
alpha (ann),0.01656481524884641
alpha SE (ann),0.025720899927723646
beta,0.6049794208852062
betaSE,0.04606767453845013
Sharpe ratio,0.08098068818843478
Sharpe ratio (ann),0.2805253327485238
information ratio,0.022880665216946344
information ratio (ann),0.07926094933345007
