,0
arith mean,0.010233013897440213
arith mean (ann),0.12279616676928257
geomean mean,0.0075692701382357175
geomean mean (ann),0.09470968849904504
sigma,0.07200257703461829
sigma (ann),0.24942424339970182
avg drawdown,0.1860244382274885
max drawdown,0.669636173803926
alpha,0.003953412101632265
alpha SE,0.0025542987668737247
alpha (ann),0.04744094521958718
alpha SE (ann),0.030651585202484698
beta,1.2606465020294484
betaSE,0.0547676534943061
Sharpe ratio,0.14212010623620122
Sharpe ratio (ann),0.4923184895563739
information ratio,0.05490653618871856
information ratio (ann),0.19020182069295954
