,0
arith mean,0.0002818890204750324
arith mean (ann),0.0033826682457003886
geomean mean,-0.00023537254955452447
geomean mean (ann),-0.002820817046220947
sigma,0.03234679086770693
sigma (ann),0.11205257048934673
avg drawdown,0.13078051908469976
max drawdown,0.2928523076430384
alpha,-0.00015924120248316702
alpha SE,0.0019684819482712564
alpha (ann),-0.0019108944297980043
alpha SE (ann),0.02362178337925508
beta,0.08145183426955785
betaSE,0.042266690593939116
Sharpe ratio,0.008714590007642868
Sharpe ratio (ann),0.030188225320738997
information ratio,-0.004922936656512154
information ratio (ann),-0.01705355282304461
