,datetime,nav,cash_position,margin_requirement
0,2000-05-31,100.0,100.0,0.0
0,2000-06-30,100.0,100.0,0.0
0,2000-07-31,100.0,100.0,0.0
0,2000-08-31,100.0,100.0,0.0
0,2000-09-29,100.0,100.0,0.0
0,2000-10-31,100.0,100.0,0.0
0,2000-11-30,100.0,100.0,0.0
0,2000-12-29,100.0,100.0,0.0
0,2001-01-31,100.0,100.0,0.0
0,2001-02-28,100.0,100.0,0.0
0,2001-03-30,100.0,100.0,0.0
0,2001-04-30,100.0,100.0,0.0
0,2001-05-31,100.0,100.0,0.0
0,2001-06-29,100.0,100.0,0.0
0,2001-07-31,100.0,100.0,0.0
0,2001-08-31,100.0,100.0,0.0
0,2001-09-28,100.0,100.0,0.0
0,2001-10-31,100.0,100.0,0.0
0,2001-11-30,100.0,100.0,0.0
0,2001-12-31,100.0,100.0,0.0
0,2002-01-31,99.60000000000001,99.60000000000001,100.00000000000003
0,2002-02-28,92.82193258285714,92.82193258285714,93.19471142857145
0,2002-03-28,100.00331235606757,100.00331235606758,100.4049320844052
0,2002-04-30,91.14436216905624,91.14436216905624,91.51040378419302
0,2002-05-31,89.34790425891629,89.34790425891629,89.7067311836509
0,2002-06-28,88.80029095371339,88.80029095371339,89.1569186282263
0,2002-07-31,79.99465430208852,79.99465430208852,80.31591797398445
0,2002-08-30,84.18590876407474,84.18590876407474,84.52400478320757
0,2002-09-30,77.81830498236097,77.81830498236097,78.13082829554315
0,2002-10-31,91.70822035798446,91.70822035798446,92.07652646383987
0,2002-11-29,99.71977712188168,99.71977712188169,100.12025815449968
0,2002-12-31,93.84663254708146,93.84663254708147,94.22352665369624
0,2003-01-31,93.46552898149417,93.46552898149419,93.84089255170099
0,2003-02-28,98.31600568845904,98.31600568845904,98.71084908479824
0,2003-03-31,99.29037093174385,99.29037093174385,99.6891274415099
0,2003-04-30,101.20998777855667,101.20998777855668,101.6164535929284
0,2003-05-30,101.47484377386608,101.4748437738661,101.88237326693385
0,2003-06-30,102.67707528796417,102.67707528796419,103.08943302004438
0,2003-07-31,105.06274470794047,105.06274470794048,105.48468344170728
0,2003-08-29,107.08410027511113,107.08410027511114,107.514156902722
0,2003-09-30,107.47371787431537,107.47371787431538,107.90533923124032
0,2003-10-31,108.55040543675828,108.55040543675831,108.9863508401188
0,2003-11-28,110.62443962329496,110.624439623295,111.06871448121981
0,2003-12-31,102.43155507385266,102.43155507385269,102.8429267809766
0,2004-01-30,102.84773142445937,102.84773142445938,103.26077452254958
0,2004-02-27,99.28409866969443,99.28409866969444,99.68282998965302
0,2004-03-31,97.82349943559336,97.82349943559336,98.21636489517402
0,2004-04-30,93.03903294562467,93.03903294562468,93.41268368034605
0,2004-05-28,96.7015532437929,96.70155324379292,97.08991289537441
0,2004-06-30,94.43384734047766,94.43384734047766,94.81309973943536
0,2004-07-30,92.06847365251011,92.06847365251012,92.43822655874507
0,2004-08-31,86.55431885834437,86.55431885834439,86.90192656460277
0,2004-09-30,88.3429501187713,88.34295011877131,88.69774108310368
0,2004-10-29,91.74838863851531,91.74838863851532,92.11685606276637
0,2004-11-30,92.41404126974003,92.41404126974004,92.78518199773097
0,2004-12-31,90.39990985698648,90.39990985698651,90.76296170380168
0,2005-01-31,88.95225990623683,88.95225990623685,89.30949789782815
0,2005-02-28,87.37688857576697,87.376888575767,87.72779977486647
0,2005-03-31,86.6273028793297,86.62730287932973,86.97520369410613
0,2005-04-29,85.37619647959389,85.3761964795939,85.7190727706766
0,2005-05-31,89.3083390836116,89.30833908361161,89.66700711205985
0,2005-06-30,86.21945545914141,86.21945545914143,86.56571833247125
0,2005-07-29,86.59190579039844,86.59190579039846,86.9396644481912
0,2005-08-31,85.42478568463122,85.42478568463125,85.76785711308356
0,2005-09-30,86.46099641570879,86.4609964157088,86.80822933304094
0,2005-10-31,92.59084062894865,92.59084062894867,92.96269139452676
0,2005-11-30,94.05177749190914,94.05177749190915,94.42949547380434
0,2005-12-30,90.29585661589876,90.29585661589877,90.65849057821158
0,2006-01-31,88.80100994655209,88.8010099465521,89.15764050858644
0,2006-02-28,87.03268962123931,87.03268962123933,87.3822184952202
0,2006-03-31,85.91946984700398,85.919469847004,86.2645279588393
0,2006-04-28,85.9453977752955,85.94539777529553,86.2905600153569
0,2006-05-31,83.62093417350081,83.62093417350084,83.9567612183743
0,2006-06-30,82.60437664133855,82.60437664133856,82.93612112584188
0,2006-07-31,81.57741557536968,81.57741557536971,81.90503571824263
0,2006-08-31,83.80326581798667,83.8032658179867,84.13982511846052
0,2006-09-29,85.57959964681596,85.57959964681599,85.92329281808833
0,2006-10-31,86.03477721218246,86.03477721218249,86.38029840580568
0,2006-11-30,85.28131191267778,85.28131191267781,85.62380714124275
0,2006-12-29,86.86095789293233,86.86095789293236,87.20979708125735
0,2007-01-31,86.88691448942268,86.88691448942271,87.2358579211071
0,2007-02-28,86.45370019541905,86.45370019541909,86.80090381066172
0,2007-03-30,87.74708597420926,87.7470859742093,88.09948390984869
0,2007-04-30,83.01519422130453,83.01519422130457,83.34858857560698
0,2007-05-31,85.19936733364625,85.1993673336463,85.54153346751633
0,2007-06-29,83.26792108261209,83.26792108261213,83.602330404229
0,2007-07-31,83.96755329517022,83.96755329517026,84.30477238470905
0,2007-08-31,84.19493352402597,84.194933524026,84.53306578717466
0,2007-09-28,83.70189294595244,83.70189294595247,84.03804512645826
0,2007-10-31,86.45840653184612,86.45840653184615,86.80562904803824
0,2007-11-30,84.9897772492409,84.98977724924093,85.33110165586433
0,2007-12-31,85.62103613020972,85.62103613020976,85.96489571306202
0,2008-01-31,83.3566415153175,83.35664151531753,83.69140714389309
0,2008-02-29,79.40816089805769,79.40816089805772,79.7270691747567
0,2008-03-31,79.47948469734433,79.47948469734435,79.79867941500433
0,2008-04-30,82.55857954413298,82.558579544133,82.8901401045512
0,2008-05-30,84.5466576874844,84.54665768748443,84.8862024974743
0,2008-06-30,82.88827938897855,82.88827938897857,83.22116404515918
0,2008-07-31,84.11433481490323,84.11433481490324,84.45214338845705
0,2008-08-29,85.07522401210288,85.0752240121029,85.41689157841655
0,2008-09-30,85.51863384083228,85.5186338408323,85.8620821695103
0,2008-10-31,85.65488309185776,85.65488309185777,85.99887860628289
0,2008-11-28,87.0206259338739,87.02062593387392,87.37010635931114
0,2008-12-31,86.43540218362716,86.43540218362716,86.78253231287869
0,2009-01-30,86.27682409040669,86.2768240904067,86.62331735984608
0,2009-02-27,86.58135360574752,86.58135360574754,86.92906988528867
0,2009-03-31,91.47658165809423,91.47658165809423,91.84395748804641
0,2009-04-30,94.84360353019605,94.84360353019606,95.22450153634148
0,2009-05-29,94.08919191499845,94.08919191499847,94.46706015562094
0,2009-06-30,98.57617664760811,98.57617664760811,98.97206490723704
0,2009-07-31,97.80553647656737,97.80553647656737,98.19832979575038
0,2009-08-31,96.42707516776744,96.42707516776744,96.8143324977585
0,2009-09-30,100.1875313575118,100.1875313575118,100.58989092119658
0,2009-10-30,102.96895151799393,102.96895151799394,103.382481443769
0,2009-11-30,98.94787070006635,98.94787070006635,99.34525170689392
0,2009-12-31,100.5813967953724,100.5813967953724,100.98533814796427
0,2010-01-29,97.97435492971323,97.97435492971323,98.36782623465186
0,2010-02-26,96.48813575187424,96.48813575187424,96.87563830509463
0,2010-03-31,96.13488343459963,96.13488343459963,96.52096730381491
0,2010-04-30,93.00831359075573,93.00831359075573,93.38184095457402
0,2010-05-28,96.82362738682878,96.82362738682878,97.21247729601282
0,2010-06-30,99.04902415358706,99.04902415358707,99.44681139918379
0,2010-07-30,98.93374058732391,98.93374058732391,99.33106484671076
0,2010-08-31,102.92875455324693,102.92875455324695,103.34212304542865
0,2010-09-30,105.78209116346271,105.78209116346272,106.20691883881796
0,2010-10-29,108.72675419452816,108.72675419452816,109.16340782583146
0,2010-11-30,108.18321785402355,108.18321785402355,108.61768860845737
0,2010-12-31,106.07695101641046,106.07695101641048,106.50296286788199
0,2011-01-31,107.662196795485,107.66219679548502,108.09457509586848
0,2011-02-28,108.43292199992403,108.43292199992405,108.86839558225303
0,2011-03-31,108.88571077396523,108.88571077396523,109.32300278510564
0,2011-04-29,109.635645813984,109.63564581398401,110.07594961243373
0,2011-05-31,107.5627240071598,107.5627240071598,107.99470281843351
0,2011-06-30,109.28754421344686,109.28754421344688,109.72645001350085
0,2011-07-29,103.0637394296576,103.06373942965762,103.47765002977667
0,2011-08-31,104.11096395125597,104.11096395125597,104.52908027234535
0,2011-09-30,106.0754245050301,106.0754245050301,106.50143022593382
0,2011-10-31,107.56278400495431,107.56278400495431,107.99476305718298
0,2011-11-30,105.4111706785984,105.4111706785984,105.83450871345218
0,2011-12-30,103.70311374600239,103.70311374600242,104.11959211446026
0,2012-01-31,103.03063406999536,103.03063406999539,103.44441171686283
0,2012-02-29,102.92424758098707,102.9242475809871,103.33759797287861
0,2012-03-30,103.64948573390075,103.64948573390078,104.06574872881599
0,2012-04-30,102.11203603883772,102.11203603883773,102.52212453698564
0,2012-05-31,104.31569886991917,104.3156988699192,104.73463741959755
0,2012-06-29,107.98102813182751,107.98102813182754,108.41468687934483
0,2012-07-31,101.14344696358272,101.14344696358275,101.54964554576577
0,2012-08-31,103.65461056220448,103.65461056220451,104.0708941387595
0,2012-09-28,103.9679109936063,103.96791099360632,104.3854528048256
0,2012-10-31,98.73723464527569,98.73723464527572,99.13376972417238
0,2012-11-30,97.3618237625544,97.36182376255441,97.75283510296623
0,2012-12-31,97.10855320500671,97.10855320500674,97.49854739458507
0,2013-01-31,95.34798224090382,95.34798224090385,95.73090586436129
0,2013-02-28,97.42512611552412,97.42512611552415,97.81639168225311
0,2013-03-28,97.67688592665112,97.67688592665114,98.06916257695895
0,2013-04-30,93.84425221494725,93.84425221494726,94.22113676199523
0,2013-05-31,91.96225891518607,91.96225891518608,92.33158525621089
0,2013-06-28,93.62910719640057,93.62910719640058,94.00512770722949
0,2013-07-31,94.80167183482031,94.80167183482034,95.18240144058265
0,2013-08-30,94.83306342067142,94.83306342067145,95.21391909705966
0,2013-09-30,95.00338772575162,95.00338772575165,95.38492743549357
0,2013-10-31,92.93374096722975,92.93374096722977,93.3069688426001
0,2013-11-29,91.01316328281312,91.01316328281315,91.3786779947923
0,2013-12-31,90.64320251986962,90.64320251986965,91.0072314456522
0,2014-01-31,95.4514990521586,95.45149905215862,95.83483840578171
0,2014-02-28,91.55132622921435,91.5513262292144,91.91900223816702
0,2014-03-31,87.50033595276086,87.50033595276089,87.85174292445868
0,2014-04-30,80.31118706328766,80.31118706328768,80.63372195109201
0,2014-05-30,79.52159287664058,79.52159287664061,79.84095670345437
0,2014-06-30,81.01792472356593,81.01792472356595,81.34329791522681
0,2014-07-31,80.9269334923089,80.92693349230892,81.25194125733825
0,2014-08-29,80.01459578174965,80.01459578174968,80.33593953990928
0,2014-09-30,79.85403800891704,79.85403800891706,80.174736956744
0,2014-10-31,85.10445348519674,85.10445348519679,85.44623843895256
0,2014-11-28,85.44716291384857,85.4471629138486,85.79032421069132
0,2014-12-31,87.05817571275476,87.05817571275479,87.40780694051679
0,2015-01-30,84.77144553651681,84.77144553651685,85.11189310895261
0,2015-02-27,85.28985504988881,85.28985504988886,85.63238458824179
0,2015-03-31,83.65864802760596,83.658648027606,83.99462653374093
0,2015-04-30,82.97858119225037,82.9785811922504,83.31182850627546
0,2015-05-29,83.6425331012342,83.64253310123425,83.97844688878935
0,2015-06-30,84.87040794723484,84.87040794723488,85.21125295907112
0,2015-07-31,85.62275083117416,85.6227508311742,85.96661730037565
0,2015-08-31,83.60383927307579,83.60383927307583,83.93959766373067
0,2015-09-30,86.88517258137573,86.88517258137577,87.2341090174455
0,2015-10-30,84.35828205665275,84.3582820566528,84.69707033800475
0,2015-11-30,84.11952811595316,84.11952811595322,84.45735754613769
0,2015-12-31,85.5628217950406,85.56282179504066,85.90644758538211
0,2016-01-29,83.94771095099897,83.94771095099902,84.2848503524086
0,2016-02-29,80.46600887952022,80.46600887952026,80.78916554168694
0,2016-03-31,80.78682769511045,80.78682769511049,81.11127278625543
0,2016-04-29,80.31744316974486,80.3174431697449,80.64000318247473
0,2016-05-31,82.50202326771249,82.50202326771254,82.83335669449042
0,2016-06-30,82.6969897157082,82.69698971570824,83.02910614026926
0,2016-07-29,83.51522016089027,83.51522016089032,83.85062265149624
0,2016-08-31,85.05721734753423,85.05721734753428,85.39881259792593
0,2016-09-30,86.09115569833463,86.09115569833467,86.43690331158095
0,2016-10-31,86.7263745078128,86.72637450781286,87.07467320061525
0,2016-11-30,80.78598027898217,80.78598027898221,81.11042196684951
0,2016-12-30,78.22781719789506,78.22781719789512,78.54198513844884
0,2017-01-31,80.2265434585611,80.22654345856115,80.54873841220993
0,2017-02-28,79.80126956177357,79.80126956177364,80.12175658812605
0,2017-03-31,81.9204914454962,81.92049144549627,82.24948940310861
0,2017-04-28,83.25269361220695,83.25269361220703,83.5870417793242
0,2017-05-31,88.62032131393175,88.62032131393183,88.97622621880697
0,2017-06-30,86.1216904686724,86.12169046867247,86.46756071151847
0,2017-07-31,85.82715512340245,85.82715512340252,86.17184249337592
0,2017-08-31,90.77630136244518,90.77630136244525,91.14086482173211
0,2017-09-29,88.80222059385022,88.8022205938503,89.15885601792189
0,2017-10-31,92.7438494108927,92.74384941089278,93.11631466957095
0,2017-11-30,91.23034161952755,91.23034161952764,91.59672853366217
0,2017-12-29,86.76190900270184,86.76190900270193,87.11035040431909
0,2018-01-31,90.35395855498516,90.35395855498524,90.71682585841882
0,2018-02-28,97.01098420735751,97.0109842073576,97.4005865535718
0,2018-03-29,95.81668291357866,95.81668291357873,96.20148886905483
0,2018-04-30,98.26275476568033,98.26275476568041,98.65738430289184
0,2018-05-31,103.47633883126436,103.47633883126446,103.89190645709266
0,2018-06-29,101.91409797241622,101.91409797241631,102.32339153857049
0,2018-07-31,99.11722279245728,99.11722279245737,99.51528392816994
0,2018-08-31,105.9908436055577,105.99084360555781,106.41650964413421
0,2018-09-28,104.88533310899766,104.88533310899777,105.30655934638315
0,2018-10-31,103.0350550751848,103.0350550751849,103.44885047709315
0,2018-11-30,105.23932175392346,105.23932175392353,105.66196963245324
0,2018-12-31,108.61006295783179,108.61006295783187,109.04624794963027
0,2019-01-31,108.34787490677746,108.34787490677755,108.78300693451548
0,2019-02-28,111.0050065972919,111.005006597292,111.45080983663843
0,2019-03-29,113.8531711426858,113.8531711426859,114.31041279386122
0,2019-04-30,114.65985005335253,114.65985005335263,115.12033137886803
0,2019-05-31,116.76357955978226,116.76357955978236,117.23250959817499
0,2019-06-28,111.08709150919339,111.08709150919347,111.53322440682062
0,2019-07-31,112.66941024480207,112.66941024480217,113.12189783614662
0,2019-08-30,112.3995718221978,112.39957182219791,112.85097572509818
0,2019-09-30,106.31303553937816,106.31303553937826,106.73999552146402
0,2019-10-31,106.0971984382968,106.09719843829689,106.52329160471562
0,2019-11-29,110.28458124156565,110.28458124156575,110.72749120639118
0,2019-12-31,106.7625164090887,106.7625164090888,107.19128153522959
0,2020-01-31,112.45145271802691,112.45145271802701,112.90306497793863
0,2020-02-28,113.12203694376419,113.12203694376429,113.57634231301623
0,2020-03-31,120.31006495800167,120.31006495800177,120.7932379096402
0,2020-04-30,116.87502805014718,116.8750280501473,117.34440567283849
0,2020-05-29,119.67908522312425,119.67908522312436,120.15972411960264
0,2020-06-30,119.98090952141527,119.98090952141538,120.4627605636699
0,2020-07-31,120.95287173951145,120.95287173951158,121.4386262444894
0,2020-08-31,121.78492635545379,121.78492635545392,122.27402244523469
