,0
arith mean,0.0031723948665744245
arith mean (ann),0.03806873839889309
geomean mean,0.0021932791839944787
geomean mean (ann),0.02663917411561334
sigma,0.04431793507119685
sigma (ann),0.15352183045970313
avg drawdown,0.23372359243146917
max drawdown,0.5063670180099502
alpha,0.0035418401433709628
alpha SE,0.0017797266812908342
alpha (ann),0.04250208172045156
alpha SE (ann),0.02135672017549001
beta,-0.05960583690377157
betaSE,0.038445603829657435
Sharpe ratio,0.07158264168847141
Sharpe ratio (ann),0.24796954468886095
information ratio,0.07991888921902587
information ratio (ann),0.2768471532236429
