,datetime,nav,cash_position,margin_requirement
0,2000-05-31,100.0,100.0,0.0
0,2000-06-30,100.0,100.0,0.0
0,2000-07-31,100.0,100.0,0.0
0,2000-08-31,100.0,100.0,0.0
0,2000-09-29,100.0,100.0,0.0
0,2000-10-31,100.0,100.0,0.0
0,2000-11-30,100.0,100.0,0.0
0,2000-12-29,100.0,100.0,0.0
0,2001-01-31,100.0,100.0,0.0
0,2001-02-28,100.0,100.0,0.0
0,2001-03-30,100.0,100.0,0.0
0,2001-04-30,100.0,100.0,0.0
0,2001-05-31,100.0,100.0,0.0
0,2001-06-29,100.0,100.0,0.0
0,2001-07-31,100.0,100.0,0.0
0,2001-08-31,100.0,100.0,0.0
0,2001-09-28,100.0,100.0,0.0
0,2001-10-31,100.0,100.0,0.0
0,2001-11-30,100.0,100.0,0.0
0,2001-12-31,100.0,100.0,0.0
0,2002-01-31,99.89999999999998,99.89999999999999,24.999999999999993
0,2002-02-28,103.93799570735294,103.93799570735294,26.010509436274504
0,2002-03-28,104.69410647866806,104.69410647866806,26.199726346013037
0,2002-04-30,103.64430243273884,103.64430243273883,25.93701262080551
0,2002-05-31,119.17253569215863,119.17253569215865,29.822956879919573
0,2002-06-28,119.73440330136386,119.73440330136386,29.963564389730685
0,2002-07-31,116.78216839433168,116.78216839433168,29.224766865448373
0,2002-08-30,112.21989197364609,112.2198919736461,28.083056049460993
0,2002-09-30,108.71804611733168,108.7180461173317,27.20671824758052
0,2002-10-31,116.41719617913294,116.41719617913297,29.133432477260506
0,2002-11-29,122.9341462031862,122.93414620318622,30.76430085164821
0,2002-12-31,112.83194159810682,112.83194159810687,28.23622162114787
0,2003-01-31,113.70424880274038,113.70424880274038,28.454516717402484
0,2003-02-28,114.39635895822828,114.39635895822829,28.62771745701407
0,2003-03-31,129.66309188463373,129.66309188463373,32.4482211923508
0,2003-04-30,123.13251718228747,123.13251718228749,30.8139432388107
0,2003-05-30,113.94398501524577,113.94398501524577,28.514510764576016
0,2003-06-30,114.43500988314618,114.43500988314618,28.637389860647197
0,2003-07-31,119.9392432066954,119.93924320669538,30.01482562730115
0,2003-08-29,123.1180108913583,123.1180108913583,30.810313035875467
0,2003-09-30,118.64690493334881,118.64690493334882,29.6914176509882
0,2003-10-31,126.40980210160633,126.40980210160633,31.63408461001159
0,2003-11-28,129.56051319380904,129.56051319380904,32.42255084930156
0,2003-12-31,132.09601075002598,132.096010750026,33.05705974725376
0,2004-01-30,122.13824046226921,122.13824046226924,30.565125240808115
0,2004-02-27,121.01760434613071,121.0176043461307,30.284685772304982
0,2004-03-31,122.40883914951152,122.40883914951155,30.6328426300079
0,2004-04-30,124.0454829931987,124.0454829931987,31.04241316146114
0,2004-05-28,128.6180695145258,128.6180695145258,32.186704082714186
0,2004-06-30,130.3723157241173,130.37231572411727,32.625704635664974
0,2004-07-30,130.45621557685408,130.45621557685408,32.64670059480832
0,2004-08-31,124.66698604916763,124.66698604916763,31.197944456748672
0,2004-09-30,125.61863589117077,125.61863589117075,31.43609506786052
0,2004-10-29,133.30553299381742,133.3055329938174,33.35974299144581
0,2004-11-30,134.69871443717565,134.69871443717562,33.70838699629019
0,2004-12-31,135.53085358622948,135.53085358622948,33.91663002658396
0,2005-01-31,137.20747942272322,137.20747942272322,34.336206061742544
0,2005-02-28,140.97466150060606,140.97466150060606,35.278944319470966
0,2005-03-31,143.9874867654914,143.98748676549138,36.03290459596883
0,2005-04-29,142.175421890073,142.175421890073,35.579434907425664
0,2005-05-31,147.05183263249108,147.05183263249108,36.7997579160388
0,2005-06-30,148.28381580450755,148.28381580450755,37.108062013140014
0,2005-07-29,152.5341719428115,152.53417194281153,38.171714700403285
0,2005-08-31,155.2187844758622,155.2187844758622,38.843539658624195
0,2005-09-30,156.02305479244401,156.02305479244404,39.04480850661763
0,2005-10-31,156.27791271630576,156.2779127163058,39.108586765842276
0,2005-11-30,151.39295373737548,151.39295373737548,37.88612455890279
0,2005-12-30,150.44569214792608,150.44569214792608,37.64907210909061
0,2006-01-31,145.4947795067119,145.49477950671192,36.41010498165963
0,2006-02-28,142.2452310982142,142.24523109821425,35.59690467923279
0,2006-03-31,158.99854823393193,158.99854823393196,39.789426484967976
0,2006-04-28,158.66846691655135,158.66846691655138,39.70682355269054
0,2006-05-31,169.15179932181147,169.15179932181147,42.33028011056342
0,2006-06-30,173.93752474938915,173.93752474938915,43.527909096443736
0,2006-07-31,172.27234200952236,172.27234200952236,43.111196699079656
0,2006-08-31,176.44307556069546,176.4430755606955,44.154923813987836
0,2006-09-29,177.53082225909378,177.53082225909378,44.42713269747091
0,2006-10-31,176.6889093676325,176.6889093676325,44.216443785693826
0,2006-11-30,175.32854793084567,175.32854793084564,43.876012995707114
0,2006-12-29,180.30858118034845,180.30858118034845,45.12226756264978
0,2007-01-31,191.57865980601636,191.57865980601633,47.94260755906316
0,2007-02-28,192.53051046078906,192.53051046078903,48.18080842362089
0,2007-03-30,193.11725360910194,193.11725360910197,48.327641043318806
0,2007-04-30,194.04815463899027,194.0481546389903,48.56059925900658
0,2007-05-31,190.04075775886594,190.04075775886588,47.557747186903384
0,2007-06-29,188.28920121530675,188.28920121530672,47.11941972355024
0,2007-07-31,184.752809843682,184.75280984368203,46.23443689781831
0,2007-08-31,181.5380878583008,181.53808785830074,45.42995191649169
0,2007-09-28,186.95270624154537,186.95270624154537,46.784961521908244
0,2007-10-31,188.5192279901574,188.51922799015736,47.17698398152088
0,2007-11-30,184.89635842910582,184.89635842910582,46.27035996724371
0,2007-12-31,189.13930539346174,189.13930539346174,47.33215850687229
0,2008-01-31,188.66223832321188,188.66223832321188,47.2127723531561
0,2008-02-29,192.76408597205338,192.76408597205338,48.23926075376711
0,2008-03-31,200.30443961544847,200.3044396154485,50.12623614000215
0,2008-04-30,211.01917997204538,211.0191799720454,52.80760259560698
0,2008-05-30,209.40232338163554,209.40232338163557,52.402983829238124
0,2008-06-30,225.46472576750318,225.4647257675032,56.42260404592169
0,2008-07-31,218.28328247894316,218.28328247894316,54.6254460658016
0,2008-08-29,223.42161744769294,223.42161744769294,55.91131567760084
0,2008-09-30,242.63275193116223,242.63275193116226,60.71890688968023
0,2008-10-31,231.9792712052396,231.97927120523963,58.05287067198188
0,2008-11-28,223.15063480484943,223.15063480484943,55.84350220341578
0,2008-12-31,224.78064875999212,224.78064875999212,56.251413603601634
0,2009-01-30,219.25796747541318,219.25796747541318,54.8693612300834
0,2009-02-27,216.07115894092522,216.07115894092522,54.071861596828114
0,2009-03-31,202.3444318100056,202.3444318100056,50.63674469719861
0,2009-04-30,212.93369298296574,212.93369298296577,53.286709955697134
0,2009-05-29,191.51463424904367,191.5146342490437,47.92658514740836
0,2009-06-30,196.53787159076185,196.53787159076185,49.18365154923971
0,2009-07-31,189.99516086688146,189.9951608668815,47.54633655327363
0,2009-08-31,177.47213633054287,177.47213633054284,44.41244652916488
0,2009-09-30,180.24876022332967,180.24876022332973,45.1072973531856
0,2009-10-30,183.94682375136958,183.9468237513696,46.03273867651893
0,2009-11-30,164.5550674723825,164.5550674723825,41.17994681491052
0,2009-12-31,164.19763329644903,164.197633296449,41.09049882293519
0,2010-01-29,155.26312571970297,155.26312571970297,38.85463606599173
0,2010-02-26,157.34638752881986,157.3463875288199,39.37597285506003
0,2010-03-31,153.85620522972076,153.85620522972079,38.50255386129149
0,2010-04-30,154.94043601908555,154.94043601908558,38.77388288765904
0,2010-05-28,159.1106560776994,159.11065607769942,39.81748150092578
0,2010-06-30,158.6074076354355,158.60740763543552,39.691543452311194
0,2010-07-30,154.69147244776298,154.691472447763,38.711579691632394
0,2010-08-31,157.23874093198992,157.23874093198998,39.349034267264756
0,2010-09-30,158.55177843781297,158.55177843781306,39.677622231684936
0,2010-10-29,154.00407974646967,154.0040797464697,38.53955949611354
0,2010-11-30,153.4315591137155,153.43155911371554,38.39628606449335
0,2010-12-31,155.34935007357524,155.34935007357527,38.87621373212595
0,2011-01-31,157.42450995855003,157.42450995855003,39.395523012650145
0,2011-02-28,158.85637529098287,158.85637529098287,39.75384767041611
0,2011-03-31,155.14904771097216,155.14904771097216,38.8260880157588
0,2011-04-29,153.87896522747843,153.87896522747846,38.50824955642604
0,2011-05-31,153.30377712888975,153.30377712888975,38.36430859081325
0,2011-06-30,156.12488863443247,156.12488863443247,39.070292451059174
0,2011-07-29,155.8605997132935,155.8605997132935,39.00415408240579
0,2011-08-31,157.77891195577212,157.77891195577212,39.484212201144175
0,2011-09-30,161.72697199219297,161.72697199219297,40.47221521326148
0,2011-10-31,161.63453061638512,161.63453061638512,40.449081735832095
0,2011-11-30,155.07023954969517,155.07023954969517,38.80636625367745
0,2011-12-30,147.60084893743948,147.60084893743948,36.9371493837436
0,2012-01-31,147.3302097573084,147.3302097573084,36.869421861188286
0,2012-02-29,143.88240212520932,143.8824021252093,36.006607138440785
0,2012-03-30,142.92443178383786,142.92443178383783,35.76687482078023
0,2012-04-30,147.6174504625128,147.6174504625128,36.94130391954775
0,2012-05-31,147.77202658604725,147.77202658604725,36.97998663314495
0,2012-06-29,152.2418254362109,152.2418254362109,38.09855491396668
0,2012-07-31,142.1047899727432,142.1047899727432,35.56175925243822
0,2012-08-31,147.88003352410428,147.88003352410428,37.00701539642249
0,2012-09-28,149.37151281174343,149.37151281174343,37.38025846139725
0,2012-10-31,152.93128689222883,152.93128689222883,38.27109281587309
0,2012-11-30,152.24822949474384,152.24822949474384,38.10015753121718
0,2012-12-31,152.83720909017066,152.83720909017066,38.24754982236503
0,2013-01-31,153.7184937881871,153.71849378818706,38.46809153858534
0,2013-02-28,149.18566926372716,149.18566926372714,37.33375106699877
0,2013-03-28,150.6751528870481,150.6751528870481,37.7064947164785
0,2013-04-30,149.6325065123345,149.63250651233446,37.445572200283905
0,2013-05-31,155.2345658595412,155.2345658595412,38.84748895383915
0,2013-06-28,153.22433318194896,153.22433318194896,38.344427723210444
0,2013-07-31,152.4424143609031,152.44241436090306,38.148752342568315
0,2013-08-30,150.18440517392375,150.18440517392375,37.5836849784594
0,2013-09-30,148.88682376988461,148.88682376988461,37.25896490737854
0,2013-10-31,150.29671952325285,150.29671952325285,37.611791672485694
0,2013-11-29,147.17882033910627,147.17882033910627,36.83153662139796
0,2013-12-31,150.1661658073335,150.1661658073335,37.579120572405785
0,2014-01-31,153.691163794423,153.69116379442303,38.461252200806555
0,2014-02-28,152.32059953565897,152.320599535659,38.11826815206679
0,2014-03-31,159.013744386622,159.013744386622,39.79322932598144
0,2014-04-30,155.84898735042424,155.84898735042427,39.00124808569174
0,2014-05-30,153.60386252676255,153.60386252676253,38.439405036727365
0,2014-06-30,155.67330573142226,155.67330573142226,38.957283716572135
0,2014-07-31,159.99400982883412,159.99400982883412,40.03854099820673
0,2014-08-29,171.331437559253,171.331437559253,42.87573512493819
0,2014-09-30,166.9498291545327,166.9498291545327,41.779236525158325
0,2014-10-31,166.67467921184456,166.67467921184456,41.71038018314428
0,2014-11-28,160.47674593121087,160.47674593121087,40.15934582863137
0,2014-12-31,161.09032531072825,161.09032531072828,40.31289422190399
0,2015-01-30,162.508777701703,162.50877770170302,40.66786228771346
0,2015-02-27,152.68484803426207,152.68484803426213,38.209421429995544
0,2015-03-31,146.55575562585886,146.5557556258589,36.67561452098573
0,2015-04-30,147.40339483945633,147.40339483945635,36.88773644631043
0,2015-05-29,142.3658178459113,142.36581784591135,35.62708154302088
0,2015-06-30,144.72851430356943,144.72851430356945,36.218346922815186
0,2015-07-31,145.42151802655405,145.4215180265541,36.39177127791646
0,2015-08-31,137.09073219533167,137.09073219533173,34.30699003887182
0,2015-09-30,137.46586255161685,137.4658625516169,34.40086650440864
0,2015-10-30,135.3444424430237,135.34444244302378,33.869980591347314
0,2015-11-30,125.70589925314728,125.70589925314738,31.45793274603291
0,2015-12-31,126.65878032155159,126.65878032155166,31.696391471859783
0,2016-01-29,129.40534375743903,129.40534375743908,32.38371965901881
0,2016-02-29,127.0744442842285,127.07444428422856,31.800411482539694
0,2016-03-31,132.16597955835294,132.165979558353,33.074569459047325
0,2016-04-29,134.61397022229335,134.6139702222934,33.687179735308675
0,2016-05-31,140.43301258588784,140.4330125858879,35.143396543015
0,2016-06-30,141.72854808662132,141.72854808662137,35.46760462628163
0,2016-07-29,141.92449046176137,141.92449046176142,35.516639254695065
0,2016-08-31,139.05043859776328,139.05043859776333,34.797407056497335
0,2016-09-30,136.83491176050399,136.83491176050404,34.24297091103706
0,2016-10-31,137.42415709927263,137.42415709927272,34.3904297045227
0,2016-11-30,144.2196253187377,144.21962531873774,36.090997327011465
0,2016-12-30,144.80995896568658,144.8099589656866,36.238728469891555
0,2017-01-31,145.0419396111374,145.04193961113745,36.29678168446884
0,2017-02-28,148.89848991218136,148.89848991218142,37.261884362407784
0,2017-03-31,149.9309761627878,149.93097616278786,37.52026430500196
0,2017-04-28,149.5562632865743,149.55626328657436,37.42649231395758
0,2017-05-31,152.42612547665726,152.42612547665732,38.144676045209565
0,2017-06-30,152.85049555648487,152.8504955564849,38.25087476388512
0,2017-07-31,157.77080281014648,157.7708028101465,39.48218288542205
0,2017-08-31,172.12137208241938,172.1213720824194,43.07341643704193
0,2017-09-29,175.80635172174897,175.806351721749,43.99558351395122
0,2017-10-31,176.53370953017844,176.53370953017847,44.17760498753218
0,2017-11-30,167.69330610192915,167.69330610192918,41.96529181729963
0,2017-12-29,164.1954735001899,164.19547350018996,41.08995833338088
0,2018-01-31,169.82371028134685,169.8237102813469,42.4984259963331
0,2018-02-28,176.34316168296164,176.3431616829617,44.129920341081544
0,2018-03-29,201.57988137088938,201.57988137088938,50.445415758480834
0,2018-04-30,203.03085909300992,203.03085909300992,50.80852329654901
0,2018-05-31,205.32993432297224,205.32993432297224,51.38386744819124
0,2018-06-29,203.03981975329043,203.03981975329043,50.810765704026664
0,2018-07-31,201.13225900929035,201.13225900929035,50.333398150473045
0,2018-08-31,204.6988012261024,204.69880122610243,51.225926232758354
0,2018-09-28,206.8276448223005,206.82764482230053,51.758669875450565
0,2018-10-31,204.3349563515936,204.3349563515936,51.134873961860265
0,2018-11-30,198.66241191121654,198.66241191121654,49.71531829610022
0,2018-12-31,201.59507662366593,201.5950766236659,50.449218374290766
0,2019-01-31,200.66315030716305,200.66315030716302,50.21600358037112
0,2019-02-28,208.99139545385773,208.99139545385773,52.30014901247689
0,2019-03-29,211.18640749308662,211.18640749308662,52.84945132459626
0,2019-04-30,213.9127018494224,213.9127018494224,53.53170716952512
0,2019-05-31,221.24209775748187,221.24209775748187,55.365890329700164
0,2019-06-28,210.8658078748567,210.8658078748567,52.76922118990409
0,2019-07-31,207.11101688561166,207.11101688561166,51.8295838052081
0,2019-08-30,209.3747360812432,209.37473608124324,52.396080100411254
0,2019-09-30,197.65482465598978,197.65482465598978,49.46316933333077
0,2019-10-31,197.74455102962455,197.74455102962457,49.48562338078696
0,2019-11-29,204.76570263078494,204.76570263078494,51.24266832602224
0,2019-12-31,206.44190158599065,206.4419015859907,51.6621375340317
0,2020-01-31,212.43819149090052,212.43819149090052,53.16271058330844
0,2020-02-28,224.69271875161627,224.6927187516163,56.22940909700107
0,2020-03-31,235.8595458708728,235.85954587087284,59.02391037809629
0,2020-04-30,236.66749678451222,236.66749678451222,59.22610029642446
0,2020-05-29,248.74560272023422,248.74560272023422,62.248649329387945
0,2020-06-30,267.25976188398147,267.25976188398147,66.88182229328868
0,2020-07-31,259.12667472682625,259.12667472682625,64.84651519690345
0,2020-08-31,270.7650789291297,270.76507892912974,67.75902876104342
