,0
arith mean,0.00012445294319550775
arith mean (ann),0.001493435318346093
geomean mean,9.520652939221108e-05
geomean mean (ann),0.0011430767852962376
sigma,0.007666512415127289
sigma (ann),0.026557578039716086
avg drawdown,0.02780913039766248
max drawdown,0.08380780314872205
alpha,0.000116541113488239
alpha SE,0.00046974100473377183
alpha (ann),0.001398493361858868
alpha SE (ann),0.005636892056805262
beta,0.0014608680352116471
betaSE,0.010086146699899781
Sharpe ratio,0.01623331920130223
Sharpe ratio (ann),0.05623386726427778
information ratio,0.015201320649828235
information ratio (ann),0.0526589194152969
