,datetime,nav,cash_position,margin_requirement
0,2000-03-31,100.0,100.0,0.0
0,2000-04-28,100.0,100.0,0.0
0,2000-05-31,99.59999999999998,99.59999999999998,100.0
0,2000-06-30,123.069744,123.06974400000001,123.56400000000002
0,2000-07-31,140.92150264617604,140.92150264617604,141.48745245600003
0,2000-08-31,208.3558237784348,208.35582377843477,209.19259415505502
0,2000-09-29,209.9599552657049,209.95995526570493,210.80316793745476
0,2000-10-31,184.8006637861708,184.80066378617076,185.54283512667752
0,2000-11-30,142.65927481836377,142.6592748183637,143.23220363289536
0,2000-12-29,151.40571495747758,151.40571495747758,152.01377003762815
0,2001-01-31,168.04860965989096,168.04860965989096,168.72350367458932
0,2001-02-28,151.9161391892527,151.9161391892527,152.52624416591635
0,2001-03-30,142.5346831210291,142.53468312102913,143.10711156729832
0,2001-04-30,135.36010761780776,135.36010761780776,135.90372250783912
0,2001-05-31,136.8648342729615,136.8648342729615,137.41449224192917
0,2001-06-29,143.00409088426917,143.00409088426915,143.57840450227832
0,2001-07-31,157.174991892889,157.17499189288898,157.8062167599287
0,2001-08-31,155.09509998804896,155.09509998804896,155.71797187555114
0,2001-09-28,94.38702706295831,94.38702706295831,94.76609142867305
0,2001-10-31,85.06543005511823,85.0654300551182,85.40705828827129
0,2001-11-30,95.10721692917875,95.10721692917875,95.48917362367347
0,2001-12-31,103.1400353644993,103.14003536449934,103.55425237399533
0,2002-01-31,99.92834883458532,99.92834883458539,100.32966750460395
0,2002-02-28,105.93457582091881,105.93457582091877,106.36001588445652
0,2002-03-28,99.88349209840857,99.88349209840857,100.28463062089222
0,2002-04-30,112.68553642331077,112.6855364233108,113.1380887784245
0,2002-05-31,119.75294537987371,119.7529453798737,120.23388090348759
0,2002-06-28,133.03521226628945,133.03521226628936,133.56949022719812
0,2002-07-31,131.81878172008777,131.81878172008783,132.34817441775883
0,2002-08-30,131.06309928022029,131.0630992802203,131.58945710865504
0,2002-09-30,148.9845918476305,148.9845918476305,149.58292354179773
0,2002-10-31,129.1037318609961,129.1037318609961,129.6222207439721
0,2002-11-29,138.0570753001683,138.05707530016832,138.61152138571117
0,2002-12-31,135.8002886939204,135.80028869392046,136.34567137943833
0,2003-01-31,137.12030533010568,137.12030533010574,137.67098928725477
0,2003-02-28,152.18434655891485,152.18434655891483,152.79552867360923
0,2003-03-31,158.98236005227665,158.9823600522766,159.6208434259806
0,2003-04-30,169.6517408623704,169.65174086237042,170.33307315499042
0,2003-05-30,161.9549224423286,161.95492244232867,162.60534381759922
0,2003-06-30,164.62398542962208,164.62398542962217,165.2851259333557
0,2003-07-31,160.27047545849967,160.27047545849967,160.9141319864454
0,2003-08-29,157.15901754607864,157.1590175460785,157.79017825911495
0,2003-09-30,169.69987047552152,169.69987047552144,170.38139605976053
0,2003-10-31,123.3143134931082,123.31431349310817,123.80955169990784
0,2003-11-28,117.99830853780323,117.99830853780318,118.47219732711166
0,2003-12-31,106.7396753624822,106.73967536248222,107.16834875751235
0,2004-01-30,116.89629559054801,116.89629559054806,117.3657586250483
0,2004-02-27,104.15353669098289,104.15353669098289,104.57182398693067
0,2004-03-31,96.96850828432562,96.96850828432565,97.35794004450361
0,2004-04-30,107.64808986663846,107.64808986663851,108.08041151268925
0,2004-05-28,113.1469717106495,113.14697171064955,113.60137721952759
0,2004-06-30,114.31767365518739,114.31767365518745,114.77678077830055
0,2004-07-30,117.00441331966937,117.0044133196694,117.474310561917
0,2004-08-31,122.11990282086305,122.1199028208631,122.6103441976536
0,2004-09-30,121.0791108832106,121.07911088321069,121.56537237270139
0,2004-10-29,123.80375467301668,123.80375467301673,124.3009585070449
0,2004-11-30,119.79465716264012,119.79465716264023,120.27576020345401
0,2004-12-31,114.10165146026415,114.10165146026418,114.5598910243616
0,2005-01-31,110.75891753239102,110.75891753239105,111.20373246223993
0,2005-02-28,120.48089431191846,120.48089431191848,120.96475332521939
0,2005-03-31,132.89520916855025,132.89520916855022,133.42892486802236
0,2005-04-29,129.8018324143248,129.8018324143248,130.32312491398076
0,2005-05-31,136.7341699250411,136.73416992504104,137.28330313759145
0,2005-06-30,142.43088076097257,142.43088076097257,143.00289233029383
0,2005-07-29,143.14640929357947,143.14640929357944,143.72129447146537
0,2005-08-31,144.31300938169824,144.31300938169815,144.89257970050016
