,0
arith mean,0.0018739945809977318
arith mean (ann),0.02248793497197278
geomean mean,-0.004921596044967447
geomean mean (ann),-0.05748643180261315
sigma,0.11619446934294533
sigma (ann),0.40250944892097124
avg drawdown,0.5530709494414621
max drawdown,0.8761469582929852
alpha,0.0015461591366747079
alpha SE,0.007083449935623627
alpha (ann),0.018553909640096494
alpha SE (ann),0.08500139922748352
beta,0.06581382380057667
betaSE,0.15187883917483722
Sharpe ratio,0.016128087606878082
Sharpe ratio (ann),0.055869334328069564
information ratio,0.013306650010262143
information ratio (ann),0.046095587792621906
