,0
arith mean,-0.0017693215935218722
arith mean (ann),-0.021231859122262466
geomean mean,-0.0031710654868988275
geomean mean (ann),-0.03739607789784105
sigma,0.05394522417066803
sigma (ann),0.18687173817857936
avg drawdown,0.7104370994683022
max drawdown,0.8070828861772575
alpha,-0.0033421407904667914
alpha SE,0.0031657915239601104
alpha (ann),-0.040105689485601496
alpha SE (ann),0.03798949828752132
beta,0.3157475718089333
betaSE,0.06787889320859149
Sharpe ratio,-0.032798484401959656
Sharpe ratio (ann),-0.11361728279089889
information ratio,-0.061954340571338924
information ratio (ann),-0.2146161312379697
