,0
arith mean,0.009374145175396927
arith mean (ann),0.11248974210476312
geomean mean,0.006416175770925792
geomean mean (ann),0.07977010946404128
sigma,0.07669718270437523
sigma (ann),0.26568683448274166
avg drawdown,0.23503651593350933
max drawdown,0.6848070252711423
alpha,0.0027960000736375616
alpha SE,0.00280693362238532
alpha (ann),0.03355200088365074
alpha SE (ann),0.03368320346862384
beta,1.320579852358
betaSE,0.060184489773085534
Sharpe ratio,0.12222280981987327
Sharpe ratio (ann),0.4233922329036976
information ratio,0.03645505577974851
information ratio (ann),0.12628401760656377
